candidate,daily_macro_mae_kwh,daily_macro_rmse_kwh,daily_macro_bias_kwh,daily_macro_r2,daily_global_r2,month_total_mae_kwh,month_total_global_r2,central_80_coverage_percent,daily_improvement_percent,total_improvement_percent,promoted
chronos2_causal_ensemble,2.5036834817,3.3084699899,-0.2952957988,-0.1336741852,0.7993375732,38.7436569009,0.9175762283,80.6432323232,7.1855716539,9.5910330015,false
chronos_bolt_small_ensemble,2.5742075291,3.3576526866,-0.3737021814,-0.1717180549,0.7918549607,39.8763230535,0.9127538615,79.2226262626,4.5711640469,6.9479377182,false
london_xgboost_multiscale_ensemble,2.6462767411,3.3876937965,0.3446418353,-0.2292075768,0.7948341354,41.9222609387,0.9146449765,78.7878787879,1.8994754083,2.1737076754,false
weather_climatology_ridge,2.6975153824,3.4257233430,0.0228775975,-0.3360394521,0.7875899825,42.8537767736,0.9046685191,,,false
