horizon_step,mae_kwh,seasonal_naive_mae_kwh,central_80_coverage_percent,central_80_width_kwh,q10_pinball_kwh,q50_pinball_kwh,q90_pinball_kwh
1,0.15496655698589545,0.24295156235839713,81.40005054334092,0.50295993739027,0.026119334396692284,0.07748327849294773,0.05254512548538575
2,0.17328240992078392,0.24207311936790818,81.53483278578048,0.5468383554104265,0.028210957449003402,0.08664120496039196,0.05929839873793674
3,0.1801875539130246,0.24734773861361647,81.66961502822004,0.5620185247856858,0.029465786333039486,0.0900937769565123,0.062459419322620426
4,0.1875209716036058,0.25328775999821873,81.02939937663213,0.5693836003721122,0.03039605887837578,0.0937604858018029,0.06481250598101515
5,0.1839090630925961,0.25323022485874414,80.7345632212956,0.5690135203344053,0.03009395559794984,0.09195453154629805,0.06296077496211493
6,0.1788971294093244,0.24962041923272518,81.5601044562379,0.5681895113001255,0.029613243587361053,0.0894485647046622,0.0624157044267508
7,0.18610022929008063,0.25290969532005614,81.14733383876674,0.5728919832044762,0.029919055060093173,0.09305011464504032,0.0641187098731441
8,0.18693665516337762,0.2553837085375641,81.04624715693708,0.5760454169153841,0.02985852720342774,0.09346832758168881,0.0645955511581489
9,0.18863964905106043,0.25251933305268964,80.95358436525987,0.5734822290442201,0.030223266099998213,0.09431982452553021,0.06529517001525528
10,0.18935293482383356,0.25460871022812875,80.93673658495493,0.5679589322019366,0.03000317291230541,0.09467646741191678,0.06574583370517702
11,0.1864460912165707,0.2526085416213916,80.76825878190549,0.5647612318479664,0.029969581330019326,0.09322304560828534,0.06571409980764513
12,0.18565388043792802,0.2543998823931036,80.83564990312526,0.5609889575218363,0.029802295008247565,0.09282694021896401,0.06484040934685323
13,0.1901514652231618,0.25149540875813564,80.20385814168984,0.5604551727054907,0.030590884668659522,0.0950757326115809,0.06413114401316113
14,0.18718851045783222,0.2526117427407152,80.6419004296184,0.5599273770553558,0.02983929338180286,0.09359425522891611,0.06450059133904437
15,0.1863896477670151,0.25170878570840416,80.32179260382445,0.5589755779789748,0.029688341210027978,0.09319482388350755,0.06439608512562654
16,0.18518797291120193,0.24572116936715746,80.9451604751074,0.5581496063445074,0.02947965254144085,0.09259398645560096,0.06547611832121966
17,0.1912933226620922,0.25079336176620226,80.22912981214725,0.5583065554935591,0.030077058818831028,0.0956466613310461,0.06697952411073028
18,0.1896507264407881,0.2530023585260938,80.4902704068739,0.5569258049046103,0.029842567512357747,0.09482536322039405,0.06574687292953466
19,0.18901605415808956,0.25068545195968134,80.42287928565412,0.554900018497919,0.03012053615043046,0.09450802707904478,0.06669896402475113
20,0.19082222327353338,0.25283859786271556,80.43972706595906,0.5509358706442726,0.029865614711080873,0.09541111163676669,0.06884460941242049
21,0.18731309514150543,0.2545654959683845,79.84163086513351,0.5519601682171795,0.029590389436359648,0.09365654757075272,0.06726769120897758
22,0.18699121296859963,0.25565049273238305,80.86092157358267,0.5597187435980614,0.029373866402215294,0.09349560648429982,0.06697510784506525
23,0.18855065345400115,0.2529048945206925,80.31336871367198,0.5629623214991178,0.029841140209152503,0.09427532672700058,0.06539956237722913
24,0.18883231869768857,0.2530171005363533,80.78510656221043,0.566722439323068,0.02970264279425805,0.09441615934884429,0.06533120405915374
