task,evaluated_households,evaluation_windows,normalization,macro_mae_kwh,median_household_mae_kwh,p90_household_mae_kwh,macro_rmse_kwh,macro_bias_kwh,macro_r2,global_r2,seasonal_naive_macro_mae_kwh,households_beating_seasonal_count,households_beating_seasonal_percent,q10_pinball_kwh,q50_pinball_kwh,q90_pinball_kwh,central_80_empirical_coverage_percent,central_80_mean_width_kwh,quantile_crossing_rate_percent
day_24h,500,11871,research_train_only_household_zscore,0.18492806722570176,0.14256561706629578,0.36280686582989646,0.3283174044702263,-0.07499578802002003,0.2703621300143774,0.6094311184499155,0.25153957011982997,495,99.0,0.02965363423721375,0.09256834016799147,0.06443954906620672,80.79633841574706,0.55976966069129,0.018953752843062926
day_24h,500,11871,production_rolling_336h_zscore,0.18194530879087992,0.1427688630647026,0.3626836056316582,0.3228543629175416,-0.06163765988925882,0.285221256824747,0.6388390590292128,0.2515395701612259,498,99.6,0.029439675513630324,0.09110273936311765,0.06174559069316313,81.01079661921209,0.5719450919556867,0.0
week_168h,499,11830,research_train_only_household_zscore,0.19732180193745427,0.14923248739906006,0.3898718906768972,0.34108992557105294,-0.07608017408627438,0.21623511049490174,0.5487241800004816,0.24905500402288783,491,98.39679358717434,0.03118039358945861,0.09857560653684892,0.06864964275511845,78.35184961558588,0.5856589932889825,0.027422211488145554
week_168h,499,11830,production_rolling_336h_zscore,0.19413772015580316,0.15056026969031092,0.3877580001164922,0.33502496325423453,-0.05312992124472518,0.24452463463285015,0.5811860708950372,0.24905500407541215,496,99.39879759519039,0.031123399677803535,0.09699898973542866,0.06616643719818109,78.05563941552953,0.5987485283346925,0.0
