household_index,evaluation_windows,mae_kwh,seasonal_naive_mae_kwh,beats_seasonal_naive,central_80_coverage_percent,central_80_width_kwh
16,24,0.15188107184237903,0.213670139045765,1,81.25,0.46928001616874504
17,24,0.11056664364231336,0.14978298702044412,1,82.11805555555556,0.35598786796132725
21,24,0.15838260599412024,0.22069270888136494,1,83.50694444444444,0.42226807995595866
26,24,0.07963993821694101,0.12488541624366513,1,84.72222222222221,0.2254208473669779
27,24,0.02157393523601867,0.0280850697130922,1,72.22222222222221,0.03829410491744056
31,24,0.11131802046050628,0.1382048609149125,1,82.11805555555556,0.3054264184449696
34,24,0.10858022760496372,0.16894791704625176,1,91.84027777777779,0.39737875152948415
37,24,0.020467003703945212,0.027571180240354605,1,84.72222222222221,0.07722799542049567
42,24,0.11806564106761168,0.16233680372372167,1,78.64583333333334,0.36878250547063846
56,24,0.08267078830006842,0.11435763908472533,1,82.29166666666666,0.23286352977932742
58,24,0.11660461713715146,0.16788715303280494,1,81.25,0.34934240536919486
59,24,0.03843830001359391,0.048473958812084876,1,80.55555555555556,0.12721336277253512
74,20,6.1131784347405e-05,4.791666675979892e-05,0,99.58333333333333,0.0009029652122383899
82,24,0.10850263586487724,0.16388715292042536,1,80.38194444444444,0.3173824018902249
83,21,0.12302882604980989,0.17287103148798147,1,81.34920634920636,0.3889881218118327
90,24,0.45333221557343173,0.594906248837813,1,72.91666666666666,1.2752100882741313
94,24,0.26940343583313126,0.3452291650723459,1,81.94444444444444,0.822403475900905
96,24,0.09645956816125868,0.12872048561823451,1,77.60416666666666,0.25101056071515715
101,24,0.257650037528947,0.3326927067246288,1,81.25,0.8361137726137208
106,24,0.3312652854818023,0.4032552083695514,1,79.16666666666666,0.8951815246707864
108,24,0.3673113826403601,0.4469774303336938,1,77.77777777777779,1.0794735237335165
109,24,0.2025909944722015,0.2628038184872518,1,79.86111111111111,0.6130902305141919
112,24,0.21529991179704666,0.28191145685397917,1,74.65277777777779,0.7062233317022523
114,24,0.4062321579290761,0.48135069687850773,1,77.95138888888889,1.141185052278969
117,24,0.11886855893276839,0.18538368094272706,1,89.58333333333334,0.36647134651947355
134,24,0.15011229472131365,0.20759895658637914,1,76.38888888888889,0.4735009629641556
141,24,0.13154503076091512,0.20399826328179593,1,85.41666666666666,0.5015254588538988
144,24,0.1305725506778496,0.18178992993327686,1,86.80555555555556,0.4568233202315039
146,24,0.060444928608679525,0.11819617982837372,1,77.60416666666666,0.14802175073418766
151,24,0.08240077596403556,0.1512361113661124,1,83.33333333333334,0.29172965880328167
157,24,0.30826105397298104,0.5543541693542566,1,76.38888888888889,0.9043358384321133
162,24,0.6284371620790302,0.9124531203336422,1,80.38194444444444,2.0532110278598137
163,24,0.10100033200190713,0.14032118007566574,1,78.64583333333334,0.33798117185425425
167,24,0.23851571978432023,0.3326822917846989,1,81.77083333333334,0.7293113472405821
174,24,0.41969324343113434,0.5824097269732091,1,84.02777777777779,1.3427423672336671
179,24,0.093346004270845,0.14779340266250074,1,86.63194444444444,0.32468549964121646
186,24,0.09399582422338426,0.14172916596807125,1,86.80555555555556,0.2916590911594944
192,24,0.13260001571486807,0.17868749881421941,1,79.86111111111111,0.4327830548087756
197,24,0.11645029048021469,0.16014409730754173,1,76.73611111111111,0.34209424056785387
207,16,0.15779287492235503,0.21105468665094426,1,79.42708333333334,0.46834170022824156
223,24,0.12574270411924873,0.19959722281136136,1,86.28472222222221,0.4788124699973398
226,24,0.3628151434370213,0.4709687512109263,1,81.94444444444444,1.1134127879308329
240,24,0.3276030785507626,0.5539374996183647,1,87.84722222222221,1.1552235514649913
245,19,0.13272210263663478,0.1843333352324471,1,83.99122807017544,0.4147806496016289
246,24,0.2065977882852571,0.2831562497368496,1,79.6875,0.6530825041700155
247,24,0.10949072159322289,0.15735243001512977,1,79.86111111111111,0.38421189138251877
250,24,0.2328593681514677,0.3368715279114743,1,83.50694444444444,0.7702995842426188
252,24,0.07572521400288679,0.10449305546676947,1,77.08333333333334,0.18052431649994105
253,24,0.17342451265236983,0.25440451330764013,1,74.65277777777779,0.5829003801983264
268,24,0.05504353672343617,0.07234548611773385,1,83.33333333333334,0.18448579378633034
269,24,0.34948783212651807,0.4950590251117117,1,80.55555555555556,1.108827155497339
273,24,0.06305612640507105,0.0825277782148785,1,84.02777777777779,0.21130544224029613
275,24,0.22367235720675024,0.2552829857320628,1,84.72222222222221,0.6145799006852839
286,24,0.08696031384170055,0.1107256943683347,1,76.5625,0.2462513851157079
288,24,0.14922239346843627,0.20831423475303584,1,80.38194444444444,0.4849895110560788
302,24,0.2691869591880176,0.3476475689482565,1,73.95833333333334,0.6051570707414713
308,24,0.08756988655982746,0.09929340267424575,1,81.94444444444444,0.26404967421614045
310,24,0.06338092766236514,0.09400867992533474,1,79.6875,0.1943690097088822
313,24,0.08217668806901202,0.11359027743391278,1,80.90277777777779,0.25090575205265647
315,24,0.22447612921759072,0.28497743320703095,1,77.77777777777779,0.4632014700522025
323,24,0.13371802770739627,0.20079166642648894,1,79.51388888888889,0.4692930550728407
335,24,0.27644760055570966,0.4481128474128329,1,75.86805555555556,0.6871631109776596
336,19,0.1492085039877055,0.2233530697331094,1,79.3859649122807,0.35532027587556003
338,24,0.15938466681270963,0.22955208354526097,1,75.86805555555556,0.4787515673993362
340,24,0.39597677641884527,0.563942709666056,1,80.72916666666666,1.28753054395525
341,24,0.19139437111637866,0.2539704849348507,1,80.20833333333334,0.46424798371218556
343,24,0.01094791372694696,0.014407986050678624,1,81.94444444444444,0.04301853373504451
348,24,0.08758935733284387,0.11448263915048705,1,80.20833333333334,0.28389652733070153
351,24,0.1618433946924698,0.18750173637333015,1,75.69444444444444,0.4661135620489303
353,24,0.29026096961913733,0.38715451503069037,1,76.04166666666666,0.8193785069355121
356,24,0.3020812071109604,0.4626458360063326,1,80.38194444444444,0.9633995254213611
357,24,0.09273176815541875,0.14522048612060542,1,84.54861111111111,0.3167761586761723
359,24,0.39135866508715683,0.6291111081114246,1,82.98611111111111,1.1870801554371913
362,24,0.3084838844628798,0.43274999963533545,1,81.77083333333334,0.9947753122283353
372,24,0.15741705578531967,0.20082638900364852,1,84.72222222222221,0.4681406939505703
375,24,0.09796003078938359,0.13992361000014675,1,77.08333333333334,0.26158085645228213
377,24,0.19065556871808237,0.2731875002500601,1,81.59722222222221,0.588832919822178
385,24,0.09124760056147352,0.11245312496774001,1,86.28472222222221,0.2508436353204565
398,24,0.5728584850439802,0.8829184021645536,1,80.90277777777779,1.8868532324106329
406,24,0.1074326544508545,0.13023958229718524,1,83.15972222222221,0.3117595005314797
409,24,0.12788136065420178,0.15123611127556716,1,87.67361111111111,0.398622491177068
413,24,0.31672545556082493,0.43302603785155547,1,79.86111111111111,0.9396876041363511
415,24,0.5561299647670239,0.7698541710981064,1,76.38888888888889,1.5896667862414486
429,24,0.09151073480542335,0.12611805545424837,1,84.375,0.313425009449323
431,24,0.14491466836382946,0.20052603989218673,1,80.38194444444444,0.47410692026217777
435,24,0.04107312164786789,0.049677083579202495,1,79.34027777777779,0.1268427890026942
442,24,0.15736352159486464,0.22033854187854254,1,83.85416666666666,0.5073313036053959
444,24,0.07918594516296354,0.095772568990166,1,81.59722222222221,0.21199689130298793
446,24,0.3138026613483412,0.39318576240394676,1,80.38194444444444,0.7442970183781452
448,24,0.10790052414975232,0.1533767368334035,1,83.85416666666666,0.36187325133424664
453,24,0.12293525393276165,0.16394097306248215,1,77.25694444444444,0.38163470331993365
458,24,0.11171365956801714,0.13481770884633684,1,86.11111111111111,0.3673074402225514
461,24,0.02341271239209972,0.026069444303478424,1,70.48611111111111,0.056445510889817446
