horizon_step,mae_kwh,seasonal_naive_mae_kwh,central_80_coverage_percent,central_80_width_kwh,q10_pinball_kwh,q50_pinball_kwh,q90_pinball_kwh
1,0.17147110408627425,0.23954361842142022,79.9323753169907,0.5113993092207472,0.02752650125970819,0.08573555204313713,0.056997306458598136
2,0.1817665140589412,0.23957607772648853,80.30431107354184,0.5533488921805422,0.02906224669087375,0.0908832570294706,0.06320748136400535
3,0.18816309141351364,0.2448710062849081,79.49281487743026,0.5596224439960154,0.029706042328555837,0.09408154570675682,0.06746276227296225
4,0.18498394927801223,0.2458917155559155,79.38292476754015,0.5615905399553267,0.02940112262100581,0.09249197463900612,0.06468386267712559
5,0.18216918465435178,0.24031589200028589,79.687235841082,0.561521534270392,0.02848261068530469,0.09108459232717589,0.06297480166277661
6,0.18236943811211648,0.23750025340940864,79.49281487743026,0.5652985957633193,0.02869409308427694,0.09118471905605824,0.0625536760623294
7,0.1892678911958476,0.2452695683808899,79.56043956043956,0.5761985853028183,0.029635009241616807,0.0946339455979238,0.06626025532073926
8,0.19387577914802195,0.25394547726725375,79.04480135249366,0.586903151294566,0.029981773158259867,0.09693788957401098,0.06678580471356288
9,0.190989793445933,0.2523036345432391,78.67286559594253,0.5880030407100262,0.030225210933992473,0.0954948967229665,0.06698213048084514
10,0.19699752022860073,0.25542113266493427,78.97717666948436,0.5856589524803046,0.030783089326134997,0.09849876011430037,0.06895030829606764
11,0.19960307588655749,0.26049966149825077,78.63905325443787,0.5886822002593881,0.0314068194532473,0.09980153794327874,0.06754897593529709
12,0.2018256376247771,0.2613421811480335,78.23330515638209,0.5878289097009477,0.03197493719076347,0.10091281881238855,0.06761347729465242
13,0.20242316790455278,0.26248081105568155,78.37700760777683,0.5854326906484121,0.031604038131163525,0.10121158395227639,0.07070029554351748
14,0.19841919916375564,0.2615777681069271,78.77430262045647,0.5866966964261269,0.030991131486948566,0.09920959958187782,0.07096168401030813
15,0.19550293709542535,0.2601218935097304,78.72358410819949,0.5883147536029559,0.03088163858676744,0.09775146854771267,0.06998828437777947
16,0.19917567458691804,0.2589990703650614,78.53761622992393,0.5920423922944141,0.03136308954787593,0.09958783729345902,0.0690953517088774
17,0.1980911346160431,0.2636663561113555,78.48689771766695,0.5991362761548663,0.03145117087609784,0.09904556730802155,0.07007017576046465
18,0.18941753010045204,0.24987607782110077,79.35756551141166,0.5963875507077835,0.02987129239212448,0.09470876505022602,0.06748602378922083
19,0.18438890225611818,0.24576483497575016,79.30684699915469,0.5832379833382818,0.029381472856995824,0.09219445112805909,0.06559079137012667
20,0.181069333996518,0.24584936547848465,79.69568892645815,0.5738204022267575,0.0290009944559545,0.090534666998259,0.06539853367965956
21,0.17945293211085872,0.24111699084156932,79.13778529163145,0.5705981729968891,0.02848963247902776,0.08972646605542936,0.06389887025808628
22,0.17882421673357593,0.23351183380517912,79.56043956043956,0.5745343732450033,0.028872463506243874,0.08941210836678797,0.06262989315643007
23,0.18310687024985478,0.24054987317133997,79.35756551141166,0.5790148875114881,0.02912123957948916,0.09155343512492739,0.06438974006065275
24,0.18852151351941712,0.24659788675298433,78.79120879120879,0.5777691819452649,0.029894144622090196,0.09426075675970856,0.06636728124230776
25,0.1842203737958014,0.23688520652844058,78.82502113271343,0.5727338405717108,0.029585566807639803,0.0921101868979007,0.06566167153076193
26,0.18833577002449892,0.23902493677340567,78.8334742180896,0.5711102843082627,0.029843101820747894,0.09416788501224946,0.06678248273451556
27,0.18912940221238747,0.23955198686016096,78.80811496196112,0.5701176741061689,0.02949031208724428,0.09456470110619374,0.06656004922145553
28,0.184940753437835,0.2385535925599201,78.46999154691461,0.5689808941981873,0.029533265924179937,0.0924703767189175,0.06606038796791985
29,0.18652164880857117,0.24029112434082972,79.12933220625528,0.5702103963881117,0.0294879543256585,0.09326082440428558,0.06409839346291378
30,0.18937100423309064,0.24542223177850248,78.72358410819949,0.5732071366944648,0.029867364822263896,0.09468550211654532,0.06438415675983593
31,0.1928382302230996,0.24883550311909516,78.85883347421809,0.5807567629149926,0.030710594019364504,0.0964191151115498,0.06762286991144734
32,0.1908919546462056,0.25065131008732094,78.90955198647507,0.5840295908938412,0.030571456993909868,0.0954459773231028,0.06658282810668896
33,0.19304269636798757,0.2585838547283575,78.04733727810651,0.5773313279897391,0.030519067685001032,0.09652134818399379,0.0671712102604702
34,0.19154639483132085,0.25052552881273926,78.42772612003381,0.5736542961184854,0.029908339646128625,0.09577319741566043,0.06718039184663531
35,0.1938727919081113,0.24658326268796782,78.28402366863905,0.5800673665566862,0.03059929441535949,0.09693639595405565,0.06752915465488843
36,0.19925475240468976,0.24943153000030696,77.95435333896872,0.5812980985030745,0.031154769134311,0.09962737620234488,0.0687429341147293
37,0.1978085340867515,0.25463474268230096,78.27557058326289,0.5807679713360596,0.031044689213985427,0.09890426704337575,0.06844127908868847
38,0.19222092022767204,0.24836593408554608,78.89264581572274,0.5834330098621027,0.0305673881362002,0.09611046011383602,0.0673447845997459
39,0.18943758072267883,0.24479628063849349,78.39391377852917,0.5843360428172671,0.029990583740774124,0.09471879036133941,0.0662259969186088
40,0.19032871338283594,0.24339247712237044,78.77430262045647,0.586883114712153,0.030564475958489944,0.09516435669141797,0.06516159494388925
41,0.19449646166248297,0.24930092967527667,78.59678782755705,0.594187401251107,0.031071718945163532,0.09724823083124148,0.06696530608015581
42,0.1886151010776204,0.2500594248522438,78.62214708368555,0.5945399190268805,0.030095977375380965,0.0943075505388102,0.0663858371893028
43,0.19089370709614215,0.24934877457917098,78.73203719357565,0.5848749504769892,0.030618926518135817,0.09544685354807107,0.06716167656229798
44,0.185876991767861,0.24089078542645329,78.67286559594253,0.5755051879496115,0.029854243920920488,0.0929384958839305,0.06443400360918061
45,0.18452955596868323,0.23455054892377813,78.08960270498731,0.5754385750402825,0.029185851317241693,0.09226477798434161,0.0650651341140301
46,0.1877583244062541,0.24785976291685116,78.2502113271344,0.5829069531021148,0.03000095713850217,0.09387916220312705,0.06519346933095402
47,0.18527521722245718,0.24636289122386892,79.27303465765004,0.5863323642880761,0.02953065468946671,0.09263760861122859,0.06580894463511945
48,0.18618850684294064,0.24233575648751576,78.78275570583263,0.5824481868697803,0.029537815065309135,0.09309425342147032,0.0662264304852254
49,0.1862018282585694,0.2385475904025005,78.43617920540997,0.5750903994758619,0.029267210014959476,0.0931009141292847,0.06553021499624435
50,0.189037675263675,0.23851808893398066,78.70667793744717,0.5705495981186791,0.029790547726772944,0.0945188376318375,0.06709478603066772
51,0.192570824773932,0.24029399883788313,77.44716821639899,0.5697806034246323,0.03022587759886479,0.096285412386966,0.0670023570807364
52,0.19129086031050263,0.23989433596763463,78.52916314454777,0.5721228437359741,0.03005390426557731,0.09564543015525132,0.06635086313668315
