hour_utc,observations,mae_kwh,seasonal_naive_mae_kwh,central_80_coverage_percent,central_80_width_kwh
0,82810,0.1402773080441204,0.1741205771561828,77.95797608984422,0.4031844619944982
1,82810,0.10427635995915703,0.1286825139339459,77.29259751237774,0.29146655633913987
2,82810,0.08264714269926451,0.10226709320922077,76.18645091172563,0.22942167205199815
3,82810,0.07297537374084123,0.08968858811872323,76.53181982852313,0.20640619973550167
4,82810,0.07240117583853033,0.0885988407389513,76.51974399227146,0.20899006810225537
5,82810,0.0783661070877373,0.09660603783893919,77.62226784204806,0.2388725176842995
6,82810,0.1040348636814619,0.1293018596724154,79.11967153725395,0.3324442318087492
7,82810,0.1535318823460142,0.18783245996593362,79.96014974036953,0.49760086776544826
8,82810,0.20356931176303994,0.2536053133827762,80.06158676488346,0.6289846220713862
9,82810,0.22830255158234206,0.29102675953352547,78.92162782272672,0.6802960282304245
10,82810,0.2363865707320683,0.30143714520598397,78.54486173167491,0.6952508396392064
11,82810,0.23927444730842976,0.3062052889451278,78.2574568288854,0.7056920895536766
12,82810,0.24327432510267336,0.3060806182761127,77.97729742784688,0.7070475413995676
13,82810,0.24375004278141466,0.308386740375988,78.18500181137544,0.6931944853388228
14,82810,0.24058014447309506,0.307067479706252,78.25987199613573,0.6743783244438111
15,82810,0.23545311597365673,0.3001830818245423,78.75498128245381,0.6846447332956244
16,82810,0.2582781278243889,0.3282201671751188,78.85279555609226,0.7630462309061968
17,82810,0.30408884100815364,0.38024970423541543,78.16930322424828,0.8919713010732874
18,82810,0.31268854405442276,0.39469536291455043,78.734452360826,0.9487015064598189
19,82810,0.2969826510168347,0.37683930656464837,78.09684820673831,0.9006651987699218
20,82810,0.26655798190235314,0.3380679747544875,78.29247675401521,0.8105885988365236
21,82810,0.23371827529427977,0.3000010146015101,79.36481101316267,0.7179473859587603
22,82810,0.2047031623257458,0.26019948055074466,79.60391257094554,0.6230054720011051
23,82810,0.1755108072287235,0.22149944456385753,79.17642796763677,0.5220149054755593
