household_index,evaluation_windows,mae_kwh,seasonal_naive_mae_kwh,beats_seasonal_naive,central_80_coverage_percent,central_80_width_kwh
16,24,0.1611575456410055,0.2077544643876276,1,76.86011904761905,0.4644698248806572
17,24,0.12089864760434019,0.1604253481380597,1,80.33234126984127,0.39739917570887695
21,24,0.17532718435136807,0.22969816537344798,1,75.0248015873016,0.4330159999053216
26,24,0.08706426304753034,0.11757589253344729,1,71.8998015873016,0.280845413163733
27,24,0.013288318581688809,0.018323908948491046,1,88.31845238095238,0.04420569155315336
31,24,0.09507302315314374,0.12156746019831016,1,83.70535714285714,0.3237635138304165
34,24,0.13306288635044078,0.1931473211356899,1,88.83928571428571,0.4130067413632152
37,24,0.022143026451683707,0.02759399796126499,1,78.86904761904762,0.08066976687220472
42,24,0.11779565136373368,0.15070808539721406,1,79.19146825396825,0.3800491174158182
56,24,0.07760465565130174,0.09677405786674677,1,79.58829365079364,0.23319685918145946
58,24,0.10830937110863272,0.150244295709796,1,83.58134920634922,0.35115209693599136
59,24,0.0378819202467437,0.048361359600676224,1,78.86904761904762,0.12974824598761245
74,20,9.823490035419777e-05,3.422619054271352e-05,0,99.91071428571429,0.0013489623067990968
82,24,0.11890084121148989,0.1621011902203059,1,79.04265873015873,0.3387266235030626
83,21,0.1357840868864048,0.17641609980484002,1,78.54308390022676,0.40341679573211137
90,24,0.46250017012085115,0.5469637878871124,1,71.82539682539682,1.2912177377646523
94,24,0.2778874939909974,0.33166046493819784,1,76.88492063492063,0.8401499590614722
96,24,0.0937578643178789,0.131841269719954,1,74.25595238095238,0.23760163919290617
101,24,0.27302698920007856,0.3546039188495054,1,78.37301587301587,0.8477241865300115
106,24,0.29711182740709136,0.38030506141986403,1,76.5376984126984,0.9335273488365586
108,24,0.3752420875022099,0.4406949405277532,1,77.9265873015873,1.0573802529686382
109,24,0.19772202545861964,0.26975173460567253,1,76.51289682539682,0.6438594799570089
112,24,0.22920879402330943,0.27286557522084975,1,77.40575396825396,0.779616761036099
114,24,0.4062105054664056,0.5205734138495274,1,76.51289682539682,1.0922218998081037
117,24,0.14616199242808517,0.17724305562054118,1,80.08432539682539,0.5376046972445375
134,24,0.16978736572144998,0.2163303563489564,1,75.89285714285714,0.49421508824600585
141,24,0.16191830466841423,0.21642857137836502,1,80.6795634920635,0.5259158652098406
144,24,0.14247059802864753,0.17493700365802006,1,76.5625,0.5635249952356967
146,24,0.06501687646313156,0.08757589213200845,1,75.0248015873016,0.2185159193015554
151,24,0.10781984718327987,0.15797098210249613,1,77.00892857142857,0.36277788217985146
157,24,0.44815990639229614,0.5498479666439668,1,66.64186507936508,1.2035779682106325
162,24,0.6586705331411062,0.8263211769317134,1,82.86210317460318,2.168953167318943
163,24,0.10695020663265567,0.1385391862256386,1,79.78670634920636,0.342131773684366
167,24,0.2921030901837632,0.36209251024341765,1,71.25496031746032,0.8541077221817677
174,24,0.434617460476205,0.5585610140115023,1,79.81150793650794,1.4056980439151328
179,24,0.09999848769918557,0.13601760896262788,1,80.80357142857143,0.32378898071317325
186,24,0.0939371588867202,0.12818402719927863,1,83.92857142857143,0.29511384624204345
192,24,0.14152031849944108,0.18733829338776153,1,76.5873015873016,0.4359850699843336
197,24,0.11004579333507175,0.15252951408887933,1,77.1329365079365,0.3553844912121782
207,13,0.15063538400272092,0.20108882660530644,1,79.02930402930403,0.49512341077483835
223,24,0.15914052993656017,0.19998809553281818,1,74.92559523809523,0.554491457891547
226,24,0.36313558362853077,0.4800545654947027,1,80.77876984126983,1.124920468792201
240,24,0.39903491526280366,0.5580257914649943,1,81.62202380952381,1.2285227735733821
245,17,0.13465971537769175,0.18008438480564026,1,80.0420168067227,0.41791620219768094
246,24,0.21445735869929194,0.2891860118631037,1,76.26488095238095,0.6483468004494964
247,24,0.12383540711801735,0.15386706303356082,1,76.24007936507937,0.430551102370142
250,24,0.24468340664835914,0.3462554555024124,1,79.34027777777779,0.7963529556383571
252,24,0.07651723352711766,0.09019419659734777,1,75.47123015873017,0.19921822608855094
253,24,0.1703234409935595,0.23837822409058435,1,78.81944444444444,0.6120869547816082
268,24,0.05691229655972815,0.06854092238271343,1,80.38194444444444,0.17943643483458943
269,24,0.37773362204935107,0.5051165683978488,1,73.73511904761905,1.1778961095574594
273,24,0.06686891061309282,0.08209796621748763,1,81.64682539682539,0.216235588190131
275,24,0.20777976401852413,0.24520114112076247,1,81.07638888888889,0.5861277904339313
286,24,0.09195879790590085,0.11685218252768252,1,72.69345238095238,0.25012160467338707
288,24,0.1506335472702862,0.20032762886867636,1,77.77777777777779,0.4927164610357039
302,24,0.25300564956555643,0.3241822917960466,1,77.65376984126983,0.6219621773269619
308,24,0.08587561174164644,0.10734350210016903,1,79.98511904761905,0.27677719765860176
310,24,0.0624957141168009,0.0872876979175046,1,80.45634920634922,0.1996384489937641
313,24,0.08545920317197987,0.11502281732308413,1,76.88492063492063,0.2512830400004214
315,24,0.18753893634614846,0.26450173635338803,1,74.95039682539682,0.4515534516808296
323,24,0.14272883529811803,0.19845114103961914,1,82.29166666666666,0.4947389689503267
335,24,0.28556093884380684,0.3880372027910891,1,74.35515873015873,0.7201363389927243
336,17,0.15695804173872918,0.20614670730438553,1,77.10084033613445,0.504156323760247
338,24,0.18561163474805653,0.2323499505947684,1,71.6765873015873,0.5815507168216365
