task,model,role,cohort,macro_mae_kwh,median_mae_kwh,macro_rmse_kwh,macro_smape_percent,macro_r2,global_r2,seasonal_naive_macro_mae_kwh,mae_improvement_over_seasonal_percent,households_beating_seasonal_percent,p90_household_mae_kwh,training_seconds,trainable_parameters
day_24h,global_tft,primary,cold_start,0.18492806722570176,0.14256561706629578,0.3283174044702263,38.49869868399584,0.2703621300143774,0.6094311184499155,0.25153957011982997,26.48152052672882,99.0,0.36280686582989646,1356.696646752,1386262
day_24h,global_nbeats_localized,fallback,cold_start,0.1955312402164371,0.15558236346634535,0.31242919985541084,43.17558615950971,0.13477879899585166,0.6618368710076451,0.25153957011982997,22.266210392548285,97.39999999999999,0.3875069702021293,603.1214890780001,3064640
day_24h,global_tft,primary,known,0.1833855485190611,0.1447435505835769,0.3264929291939876,39.92978595820908,0.284794833331666,0.5796537239190691,0.24979312591685002,26.585029973921046,98.85000000000001,0.36499734677581563,1356.696646752,1386262
day_24h,global_nbeats_localized,fallback,known,0.1952001661639298,0.15863230289017027,0.3117491552471414,44.842226389219476,0.19941304664142642,0.6306215166558078,0.24979312591685002,21.855269056160047,96.3,0.3799488658574005,603.1214890780001,3064640
month_30d,multicyclenet_adapted,fallback,cold_start,2.840813421947701,1.8454971716887258,3.6840166128171705,25.578679484960468,-0.6077977790831545,0.7178142539005515,3.1045836248210783,8.496153904972644,80.08213552361396,5.73330199021463,662.620503394,1345922
month_30d,global_nbeats_localized,primary,cold_start,2.9397118053733555,1.9074984358018414,3.7983977154005664,26.027033625867922,-0.7169752066846699,0.6504908607989384,3.104583628362615,5.310593713212824,76.38603696098562,5.694368188079832,189.86018194899998,2081216
month_30d,multicyclenet_adapted,fallback,known,2.8358722588600678,1.900653573488472,3.615508857887342,26.804245530524735,-0.5996062587564945,0.6980104486790353,3.1427536744552125,9.764730150171307,81.36645962732919,5.790214355999567,662.620503394,1345922
month_30d,global_nbeats_localized,primary,known,2.842255843416499,1.950867326049968,3.632551286807789,27.163001785423383,-1.1365714449779796,0.6997142085655842,3.142753673202519,9.561609372961373,77.89855072463769,5.878837305703926,189.86018194899998,2081216
week_168h,global_tft,primary,cold_start,0.19732180193745427,0.14923248739906006,0.34108992557105294,40.87791009932431,0.21623511049490174,0.5487241800004816,0.24905500402288783,20.771797895969737,98.39679358717434,0.3898718906768972,1666.739840426,1386262
week_168h,global_nbeats_localized,fallback,cold_start,0.218623316641557,0.17284853143389828,0.33204181344783495,47.60766083426046,0.2301367104050799,0.5838867873462629,0.24905500402288783,12.218862054477817,88.97795591182364,0.4251464509820333,592.966832592,3692480
week_168h,global_tft,primary,known,0.19496630713837926,0.1521434437490518,0.3386593337599088,42.416489524972036,0.24243412618981547,0.5377612713055264,0.24776758549847022,21.310809585468142,97.55,0.38534664792303835,1666.739840426,1386262
week_168h,global_nbeats_localized,fallback,known,0.21797148455737142,0.17509590059856295,0.329836333243621,49.71992340919806,0.23650290360013526,0.5739196947255496,0.24776758549847022,12.025826897878362,87.8,0.42226187403514237,592.966832592,3692480
