rank,candidate,status,daily_macro_mae_kwh,daily_macro_rmse_kwh,daily_macro_bias_kwh,daily_macro_r2,daily_global_r2,month_total_mae_kwh,central_80_coverage_percent,daily_improvement_over_strongest_baseline_percent,month_total_improvement_over_strongest_baseline_percent
1,xgboost_quantile_residual_refit,research_selected,2.6907946029,3.5164802704,-0.4356577437,-0.4922990098,0.7432322847,48.0870549935,78.6491076569,4.7868114148,1.5667712908
2,xgboost_mse_center_refit,research_alternative,2.7216293957,3.5430301526,-0.2363547219,-7.9135506890,0.7459876790,46.8559812912,79.0365572827,3.6957289008,4.0867542530
3,damped_four_week_weekday_trend,baseline,2.8260734074,3.7332397548,-0.9610875092,-0.4151826202,0.7280505585,48.8524613325,,0.0,0.0
4,trailing_four_week_weekday_mean,baseline,2.8469489997,3.7265767175,-1.2592511916,-0.4081086055,0.7186671932,53.7388970640,,-0.7386833426,-10.0024560957
5,recent_30_day_mean,baseline,2.8618361018,3.7237420426,-1.3003078259,-0.3930512216,0.7187619342,54.5318413977,,-1.2654728431,-11.6257716662
6,last_week,baseline,3.1045836276,4.1410893622,-0.7333468934,-0.7858671680,0.6971826672,49.9602046675,,-9.8532594951,-2.2675325621
